customer_id,account_age_days,total_orders,total_returns,return_rate,avg_days_to_return,avg_order_value,high_value_return_ratio,payment_method,preferred_category,complaints_filed,refund_to_wallet_pref,is_risky_return
CUST10118,199,7,1,0.128,9.03,2710.47,0.291,UPI,Beauty,0,1,0
CUST10119,237,5,0,0.046,9.1,742.38,0.09,UPI,Electronics,0,0,0
CUST10120,379,11,1,0.128,7.2,1145.58,0.557,UPI,Fashion,0,0,0
CUST10121,143,15,4,0.257,10.19,1726.75,0.298,COD,Footwear,0,1,1
CUST10122,1059,10,3,0.288,0.62,3372.89,0.176,UPI,Fashion,0,0,1
CUST10123,541,4,0,0.029,4.94,487.65,0.497,COD,Fashion,0,1,0
CUST10124,312,7,0,0.0,5.02,1826.17,0.32,Credit Card,Electronics,0,0,0
CUST10125,73,7,3,0.468,1.87,4545.06,0.62,Debit Card,Electronics,0,1,1
CUST10126,608,10,0,0.023,4.41,2412.16,0.208,Debit Card,Books,0,0,0
CUST10127,175,7,2,0.345,9.23,2868.75,0.113,COD,Fashion,0,0,1
CUST10128,24,13,3,0.265,4.09,1778.39,0.223,Credit Card,Mobiles,0,1,1
CUST10129,186,9,0,0.045,9.01,2845.15,0.147,COD,Fashion,0,0,0
CUST10130,332,8,0,0.029,12.15,1239.7,0.375,Credit Card,Home & Kitchen,2,0,0
CUST10131,246,11,2,0.187,5.26,3155.05,0.489,COD,Home & Kitchen,0,0,0
CUST10132,22,10,0,0.017,1.09,1737.31,0.18,COD,Electronics,0,0,0
CUST10133,74,5,1,0.216,4.09,5387.65,0.29,UPI,Home & Kitchen,0,1,0
CUST10134,185,8,1,0.087,8.17,3093.8,0.163,Credit Card,Books,0,0,0
CUST10135,79,8,1,0.07,15.33,2069.17,0.348,UPI,Home & Kitchen,0,0,0
CUST10136,295,12,1,0.101,6.04,3080.88,0.163,UPI,Home & Kitchen,0,0,0
CUST10137,362,11,3,0.257,2.58,2936.24,0.137,Debit Card,Electronics,0,0,1
CUST10138,95,4,1,0.267,7.7,1401.43,0.398,UPI,Fashion,0,0,1
CUST10139,34,9,1,0.141,7.21,355.36,0.244,UPI,Beauty,0,0,0
CUST10140,604,13,8,0.644,2.95,2998.69,0.671,Credit Card,Mobiles,0,1,1
CUST10141,357,9,2,0.262,9.33,2933.47,0.457,COD,Beauty,0,1,1
CUST10142,267,4,1,0.233,11.79,2059.55,0.088,COD,Footwear,0,1,1
CUST10143,1500,7,0,0.07,6.76,1533.39,0.08,UPI,Books,0,0,0
CUST10144,485,5,1,0.201,5.05,2154.5,0.347,UPI,Fashion,0,0,0
CUST10145,51,7,1,0.167,8.04,4910.71,0.347,Wallet,Mobiles,0,0,0
CUST10146,206,10,0,0.0,14.71,4439.54,0.078,Debit Card,Fashion,0,0,0
CUST10147,102,8,1,0.163,5.42,3526.72,0.42,UPI,Fashion,0,0,0
CUST10148,618,9,1,0.114,7.03,1005.61,0.081,Credit Card,Electronics,0,1,0
CUST10149,445,5,1,0.118,9.65,2403.39,0.903,COD,Fashion,0,0,0
CUST10150,20,7,3,0.358,6.81,1259.17,0.215,COD,Fashion,1,1,1
CUST10151,85,8,1,0.149,8.39,2983.13,0.557,COD,Electronics,2,0,0
CUST10152,796,4,2,0.516,2.3,58.22,0.815,Debit Card,Mobiles,2,0,1
CUST10153,76,10,1,0.141,8.22,2182.45,0.387,Credit Card,Fashion,0,0,0
CUST10154,703,10,2,0.215,5.69,1845.63,0.129,COD,Beauty,0,0,0
CUST10155,327,8,2,0.264,1.17,1290.48,0.708,UPI,Footwear,1,0,1
CUST10156,496,6,0,0.003,10.45,2335.79,0.193,COD,Home & Kitchen,0,0,0
CUST10157,325,9,1,0.102,2.44,3459.3,0.227,COD,Electronics,0,0,0
CUST10158,327,5,0,0.004,9.96,4729.96,0.246,Credit Card,Footwear,0,0,0
CUST10159,172,12,1,0.115,3.55,2790.68,0.573,UPI,Mobiles,0,1,0
CUST10160,97,7,1,0.163,3.43,205.05,0.309,COD,Electronics,0,0,0
CUST10161,330,6,0,0.056,7.22,1611.23,0.026,COD,Footwear,0,0,0
CUST10162,271,9,1,0.102,10.41,1026.45,0.17,UPI,Fashion,0,1,0
CUST10163,20,9,0,0.035,6.58,582.6,0.195,Debit Card,Fashion,0,0,0
CUST10164,656,10,3,0.332,3.15,1326.51,0.188,UPI,Fashion,0,0,1
CUST10165,163,10,3,0.309,7.66,1012.71,0.353,Debit Card,Beauty,0,0,1
CUST10166,173,8,1,0.134,9.98,1417.72,0.037,COD,Fashion,0,0,0
CUST10167,243,8,1,0.079,9.59,953.37,0.182,COD,Home & Kitchen,0,1,0
CUST10168,476,4,0,0.113,5.59,3589.27,0.398,COD,Fashion,0,1,0
CUST10169,756,6,1,0.12,2.76,985.3,0.426,Credit Card,Fashion,0,0,0
CUST10170,285,4,0,0.078,9.82,1842.95,0.126,Debit Card,Beauty,0,0,0
CUST10171,305,10,2,0.184,5.96,1341.58,0.332,Credit Card,Fashion,0,0,0
CUST10172,269,7,0,0.031,11.51,2030.06,0.437,Credit Card,Fashion,0,0,0
CUST10173,138,4,1,0.318,3.06,4012.96,0.166,Credit Card,Fashion,0,0,1
CUST10174,57,10,1,0.142,6.43,2407.19,0.383,Credit Card,Electronics,0,0,0
CUST10175,58,9,1,0.123,9.42,460.55,0.074,UPI,Footwear,0,1,0
CUST10176,30,11,0,0.011,16.9,2437.93,0.116,COD,Books,0,1,0
CUST10177,103,7,0,0.05,8.77,2284.71,0.302,Debit Card,Footwear,0,0,0
CUST10178,955,6,2,0.331,6.35,4357.75,0.163,COD,Fashion,0,0,1
CUST10179,157,7,2,0.301,6.44,2460.49,0.139,UPI,Footwear,0,0,1
CUST10180,60,8,1,0.11,6.63,1856.33,0.304,Credit Card,Fashion,0,0,0
CUST10181,36,7,2,0.261,10.84,2881.9,0.172,COD,Mobiles,1,0,1
CUST10182,163,10,2,0.17,5.37,754.01,0.689,Debit Card,Electronics,0,0,0
CUST10183,899,11,2,0.185,13.78,2662.06,0.132,Debit Card,Home & Kitchen,1,0,0
CUST10184,205,6,1,0.153,11.98,868.74,0.348,COD,Beauty,0,0,0
CUST10185,226,9,3,0.359,2.54,926.63,0.247,Debit Card,Fashion,0,0,1
CUST10186,223,4,1,0.327,8.67,2546.49,0.176,Debit Card,Mobiles,1,0,1
CUST10187,640,5,2,0.384,6.0,2827.1,0.266,Debit Card,Mobiles,0,1,1
CUST10188,440,9,1,0.059,12.87,2797.79,0.096,UPI,Electronics,1,1,0
CUST10189,65,6,1,0.093,9.64,2828.32,0.17,Debit Card,Electronics,0,0,0
CUST10190,219,11,2,0.154,7.0,1014.59,0.08,COD,Footwear,0,1,0
CUST10191,150,11,3,0.317,8.64,2976.62,0.156,Wallet,Beauty,0,0,1
CUST10192,90,5,0,0.069,8.82,2007.44,0.593,Credit Card,Home & Kitchen,0,1,0
CUST10193,91,9,1,0.123,6.52,277.36,0.22,COD,Fashion,0,0,0
CUST10194,5,8,1,0.074,2.47,1952.11,0.395,Wallet,Fashion,0,0,0
CUST10195,16,8,2,0.242,5.94,2140.94,0.242,COD,Footwear,0,0,1
CUST10196,159,4,0,0.081,6.65,983.81,0.459,Credit Card,Mobiles,1,0,0
CUST10197,38,5,1,0.245,3.79,1955.41,0.397,UPI,Fashion,0,1,1
CUST10198,824,9,2,0.187,4.72,876.35,0.286,Credit Card,Fashion,0,0,0
CUST10199,17,6,4,0.611,1.54,3788.3,0.562,UPI,Mobiles,2,0,1
CUST10200,117,7,0,0.063,11.94,567.84,0.076,Credit Card,Footwear,0,0,0
CUST10201,650,5,1,0.172,2.54,1175.51,0.331,UPI,Fashion,1,1,0
CUST10202,242,9,5,0.543,2.94,4187.64,0.38,Credit Card,Electronics,2,0,1
CUST10203,725,14,1,0.052,14.82,998.19,0.425,COD,Footwear,0,0,0
CUST10204,1030,10,2,0.161,11.26,677.33,0.1,UPI,Footwear,1,0,0
CUST10205,318,7,2,0.288,5.08,1850.05,0.372,Credit Card,Beauty,0,0,1
CUST10206,17,10,2,0.2,5.08,1028.78,0.421,Debit Card,Books,0,1,0
CUST10207,435,9,3,0.374,4.06,408.08,0.433,COD,Home & Kitchen,0,1,1
CUST10208,8,9,1,0.081,6.85,1109.76,0.119,UPI,Fashion,0,0,0
CUST10209,562,6,0,0.066,6.55,2002.17,0.194,COD,Beauty,0,0,0
CUST10210,430,8,1,0.131,9.58,3461.02,0.216,Debit Card,Mobiles,0,0,0
CUST10211,266,12,1,0.072,13.86,2484.62,0.156,COD,Fashion,0,1,0
CUST10212,171,3,1,0.212,8.15,1829.01,0.223,UPI,Beauty,0,1,0
CUST10213,101,9,1,0.141,7.52,3295.86,0.3,Credit Card,Beauty,0,1,0
CUST10214,82,5,0,0.025,11.87,1989.47,0.407,Credit Card,Home & Kitchen,0,0,0
CUST10215,329,11,0,0.042,8.9,3797.94,0.199,Credit Card,Fashion,0,1,0
CUST10216,114,6,0,0.071,10.47,1722.42,0.346,COD,Footwear,0,0,0
CUST10217,17,5,0,0.1,9.79,3727.77,0.012,Wallet,Home & Kitchen,0,0,0
CUST10218,962,6,1,0.095,7.24,76.6,0.199,UPI,Electronics,0,1,0
CUST10219,6,6,1,0.173,7.55,2144.17,0.052,COD,Home & Kitchen,0,0,0
CUST10220,1395,10,1,0.139,7.23,2693.13,0.057,Credit Card,Electronics,1,1,0
CUST10221,50,9,6,0.664,1.85,1663.83,0.793,COD,Fashion,1,0,1
CUST10222,207,9,3,0.294,4.05,1983.84,0.355,UPI,Fashion,1,0,1
CUST10223,48,6,0,0.043,6.96,4492.26,0.145,UPI,Fashion,0,0,0
CUST10224,98,9,1,0.077,12.66,749.48,0.477,UPI,Beauty,1,0,0
CUST10225,287,11,1,0.078,4.25,845.04,0.201,UPI,Mobiles,0,0,0
CUST10226,453,9,1,0.086,5.69,947.73,0.111,COD,Fashion,0,1,0
CUST10227,230,7,0,0.05,7.79,1044.28,0.066,UPI,Fashion,0,0,0
CUST10228,1500,9,3,0.286,9.33,3800.77,0.183,UPI,Footwear,0,0,1
CUST10229,172,9,3,0.32,8.36,874.41,0.108,UPI,Electronics,0,0,1
CUST10230,338,8,4,0.478,2.86,2664.08,0.391,COD,Footwear,1,0,1
CUST10231,66,4,1,0.177,8.48,3368.34,0.043,UPI,Beauty,0,0,0
CUST10232,45,9,3,0.332,8.11,2411.88,0.316,COD,Books,0,0,1
CUST10233,59,7,0,0.018,11.03,2350.47,0.173,Wallet,Fashion,0,0,0
CUST10234,254,9,2,0.271,0.78,3301.2,0.544,Credit Card,Footwear,0,0,1
CUST10235,314,7,2,0.303,9.67,3149.44,0.17,Wallet,Beauty,0,1,1
CUST10236,38,13,2,0.14,10.23,1475.22,0.094,Credit Card,Beauty,0,1,0
CUST10237,85,4,3,0.669,1.52,2943.43,0.235,Wallet,Books,0,0,1
CUST10238,36,8,4,0.552,1.52,2908.62,0.644,Credit Card,Footwear,1,0,1
CUST10239,309,11,1,0.133,5.37,1357.82,0.331,Wallet,Mobiles,1,1,0
CUST10240,51,1,0,0.058,8.87,79.15,0.58,COD,Footwear,0,0,0
CUST10241,86,10,2,0.247,0.5,2879.39,0.504,COD,Home & Kitchen,0,1,1
CUST10242,127,8,3,0.349,4.59,1235.46,0.257,COD,Books,0,0,1
CUST10243,269,10,2,0.154,6.9,776.47,0.55,UPI,Books,0,0,0
CUST10244,7,6,1,0.181,3.52,527.71,0.132,UPI,Home & Kitchen,2,1,0
CUST10245,528,7,1,0.174,11.93,1778.02,0.47,COD,Beauty,0,1,0
CUST10246,204,8,3,0.389,7.92,1097.13,0.229,COD,Home & Kitchen,0,0,1
CUST10247,167,6,1,0.24,3.97,3535.29,0.134,COD,Mobiles,0,0,1
CUST10248,172,11,0,0.032,5.71,1363.87,0.635,Credit Card,Electronics,0,0,0
CUST10249,899,4,0,0.101,15.45,4912.9,0.347,COD,Home & Kitchen,1,1,0
CUST10250,11,8,3,0.326,3.81,2582.4,0.303,UPI,Books,0,1,1
CUST10251,241,7,1,0.079,9.15,4146.11,0.261,Credit Card,Fashion,0,0,0
CUST10252,163,10,2,0.229,7.54,1086.65,0.342,COD,Electronics,0,0,0
CUST10253,93,5,1,0.253,13.69,3878.92,0.238,COD,Fashion,1,1,1
CUST10254,470,8,0,0.059,10.5,1980.98,0.262,COD,Electronics,0,0,0
CUST10255,210,7,1,0.093,10.93,3072.28,0.167,Wallet,Footwear,0,0,0
CUST10256,731,12,3,0.256,4.75,1256.98,0.211,Debit Card,Footwear,0,0,1
CUST10257,577,10,0,0.0,14.24,3269.18,0.467,Debit Card,Footwear,0,0,0
CUST10258,257,11,3,0.303,4.28,1010.49,0.022,Credit Card,Footwear,0,0,1
CUST10259,338,8,0,0.032,6.99,1482.05,0.202,COD,Footwear,0,0,0
CUST10260,88,7,1,0.161,5.65,4378.89,0.367,Wallet,Home & Kitchen,0,1,0
CUST10261,340,6,0,0.054,12.86,1750.47,0.361,COD,Footwear,2,0,0
CUST10262,231,6,1,0.206,3.97,2902.71,0.703,UPI,Beauty,1,1,0
CUST10263,23,8,1,0.079,3.29,638.79,0.158,COD,Fashion,0,0,0
CUST10264,889,11,1,0.128,15.97,1713.38,0.581,COD,Beauty,0,0,0
CUST10265,132,7,3,0.444,3.05,3547.6,0.598,Credit Card,Fashion,1,1,1
CUST10266,202,5,1,0.117,13.65,1004.05,0.305,UPI,Fashion,0,0,0
CUST10267,8,11,2,0.184,4.6,2589.34,0.206,Debit Card,Mobiles,1,0,0
CUST10268,91,9,3,0.305,3.08,1744.12,0.582,UPI,Footwear,0,0,1
CUST10269,426,7,1,0.116,1.37,1590.39,0.247,COD,Electronics,0,1,0
CUST10270,858,6,1,0.184,1.38,1275.98,0.272,COD,Mobiles,0,0,0
CUST10271,277,8,2,0.243,4.73,1195.87,0.116,Credit Card,Footwear,0,1,1
CUST10272,359,10,0,0.034,11.25,2623.82,0.183,UPI,Beauty,1,1,0
CUST10273,120,5,0,0.0,15.07,3666.2,0.099,COD,Electronics,1,0,0
CUST10274,47,10,0,0.039,10.83,256.68,0.134,Debit Card,Footwear,0,0,0
CUST10275,501,11,1,0.123,10.66,1447.66,0.521,COD,Footwear,0,0,0
CUST10276,33,8,1,0.142,8.71,1992.96,0.091,COD,Fashion,0,1,0
CUST10277,259,9,1,0.16,5.17,2160.6,0.305,Wallet,Fashion,0,0,0
CUST10278,214,12,5,0.415,1.45,1411.07,0.788,UPI,Electronics,1,1,1
CUST10279,21,4,2,0.615,3.09,2553.52,0.652,COD,Home & Kitchen,2,0,1
CUST10280,294,5,4,0.803,1.77,609.15,0.458,UPI,Footwear,0,0,1
CUST10281,301,8,1,0.095,5.24,1738.02,0.27,COD,Fashion,1,1,0
CUST10282,74,9,4,0.489,2.0,974.56,0.299,COD,Fashion,2,1,1
CUST10283,1148,7,3,0.498,4.6,3452.1,0.866,COD,Fashion,1,1,1
CUST10284,198,10,1,0.072,13.91,1526.32,0.137,Wallet,Home & Kitchen,0,1,0
CUST10285,313,8,1,0.103,2.42,4381.4,0.283,Credit Card,Mobiles,1,0,0
CUST10286,173,5,0,0.087,11.19,2597.79,0.257,Credit Card,Home & Kitchen,0,0,0
CUST10287,75,7,1,0.111,9.99,4422.44,0.349,COD,Beauty,0,0,0
CUST10288,547,10,1,0.062,8.81,524.67,0.376,COD,Footwear,0,1,0
CUST10289,730,8,0,0.031,3.13,1059.59,0.16,UPI,Electronics,1,0,0
CUST10290,318,4,1,0.131,9.67,2393.92,0.663,COD,Mobiles,0,0,0
CUST10291,963,3,0,0.069,11.91,2274.69,0.222,COD,Beauty,0,1,0
CUST10292,44,8,1,0.082,6.18,2357.39,0.317,COD,Mobiles,0,1,0
CUST10293,97,12,1,0.118,3.77,1111.8,0.518,Credit Card,Fashion,0,0,0
CUST10294,658,8,1,0.084,11.08,2721.51,0.226,Debit Card,Home & Kitchen,0,0,0
CUST10295,63,9,4,0.464,1.31,395.94,0.462,COD,Beauty,4,0,1
CUST10296,47,7,0,0.042,9.18,1115.05,0.659,Credit Card,Footwear,1,0,0
CUST10297,105,9,2,0.185,10.31,977.88,0.21,Credit Card,Electronics,1,0,0
CUST10298,173,7,1,0.123,6.05,516.88,0.286,COD,Fashion,0,0,0
CUST10299,1153,6,1,0.179,8.13,1768.22,0.331,UPI,Fashion,0,0,0
CUST10300,369,5,0,0.064,2.45,2075.8,0.177,Debit Card,Home & Kitchen,0,0,0
CUST10301,187,7,2,0.244,5.4,1293.47,0.809,Debit Card,Fashion,1,0,1
CUST10302,36,6,0,0.062,14.5,2537.79,0.346,UPI,Home & Kitchen,0,0,0
CUST10303,58,8,1,0.103,10.66,439.96,0.427,COD,Footwear,0,0,0
CUST10304,153,7,1,0.101,7.3,1118.6,0.222,COD,Beauty,0,0,0
CUST10305,315,8,1,0.102,10.18,1001.94,0.161,Credit Card,Footwear,0,0,0
CUST10306,127,7,2,0.277,1.03,1053.89,0.648,Credit Card,Books,0,1,1
CUST10307,39,6,1,0.105,14.97,1932.53,0.082,UPI,Books,0,0,0
CUST10308,287,7,1,0.091,9.07,458.79,0.488,COD,Fashion,0,1,0
